Date,Open,High,Low,Close,Volume,Open Interest
2019-11-14,935.75,935.75,935.75,935.75,0,0
2019-11-15,936,936,936,936,0,0
2019-11-18,931.25,931.25,931.25,931.25,0,0
2019-11-19,932,932,932,932,0,0
2019-11-20,934,934,934,934,0,0
2019-11-21,932.75,932.75,932.75,932.75,0,0
2019-11-22,931,931,931,931,0,0
2019-11-25,932.25,932.25,932.25,932.25,0,0
2019-11-26,929,929,929,929,0,0
2019-11-27,925.75,925.75,925.75,925.75,0,0
2019-11-29,925.5,925.5,925.5,925.5,0,0
2019-12-02,925,925,925,925,0,0
2019-12-03,928,928,928,928,0,0
2019-12-04,929,929,929,929,0,0
2019-12-05,933,933,933,933,0,0
2019-12-06,933.75,933.75,933.75,933.75,0,0
2019-12-09,939,939,939,939,0,0
2019-12-10,940.5,940.5,940.5,940.5,0,0
2019-12-11,937.25,937.25,937.25,937.25,0,0
2019-12-12,938,938,938,938,0,0
2019-12-13,941.75,941.75,941.75,941.75,0,0
2019-12-16,945.25,945.25,945.25,945.25,0,0
2019-12-17,946.5,946.5,946.5,946.5,0,0
2019-12-18,949.5,949.5,949.5,949.5,0,0
2019-12-19,948.25,948.25,948.25,948.25,0,0
2019-12-20,946.5,946.5,946.5,946.5,0,0
2019-12-23,945.25,945.25,945.25,945.25,0,0
2019-12-24,947.5,947.5,947.5,947.5,0,0
2019-12-26,948.75,948.75,948.75,948.75,0,0
2019-12-27,948.5,948.5,948.5,948.5,0,0
2019-12-30,951.5,951.5,951.5,951.5,0,0
2019-12-31,952.5,952.5,952.5,952.5,0,0
2020-01-02,955.25,955.25,955.25,955.25,0,0
2020-01-03,951.5,951.5,951.5,951.5,0,0
2020-01-06,954.5,954.5,954.5,954.5,0,0
2020-01-07,957,957,957,957,0,0
2020-01-08,957.5,957.5,957.5,957.5,0,0
2020-01-09,953,953,953,953,0,0
2020-01-10,953.5,953.5,953.5,953.5,0,0
2020-01-13,948.25,948.25,948.25,948.25,0,0
2020-01-14,947,947,947,947,0,0
2020-01-15,938.25,938.25,938.25,938.25,0,0
2020-01-16,939.5,939.5,939.5,939.5,0,0
2020-01-17,941.75,941.75,941.75,941.75,0,0
2020-01-21,935.75,935.75,935.75,935.75,0,0
2020-01-22,935.25,935.25,935.25,935.25,0,0
2020-01-23,936.5,936.5,936.5,936.5,0,0
2020-01-24,937.5,937.5,937.5,937.5,0,0
2020-01-27,939.25,939.25,939.25,939.25,0,0
2020-01-28,937.25,937.25,937.25,937.25,0,0
2020-01-29,935.5,935.5,935.5,935.5,0,0
2020-01-30,930.5,930.5,930.5,930.5,0,0
2020-01-31,928,928,928,928,0,0
2020-02-03,929.5,929.5,929.5,929.5,0,0
2020-02-04,932.75,932.75,932.75,932.75,0,0
2020-02-05,932.75,932.75,932.75,932.75,0,0
2020-02-06,931.75,931.75,931.75,931.75,0,0
2020-02-07,927.5,927.5,927.5,927.5,0,0
2020-02-10,928.25,928.25,928.25,928.25,0,0
2020-02-11,928.5,928.5,928.5,928.5,0,0
2020-02-12,925,925,925,925,0,0
2020-02-13,928.25,928.25,928.25,928.25,0,0
2020-02-14,930.5,930.5,930.5,930.5,0,0
2020-02-18,929.5,929.5,929.5,929.5,0,0
2020-02-19,930,930,930,930,0,0
2020-02-20,928,928,922.5,922.5,15,15
