Date,Open,High,Low,Close,Volume,Open Interest
2000-10-19,483.0,485.0,481.5,482.25,12075.0,48345.0
2000-10-18,477.5,482.0,477.25,479.25,8464.0,44689.0
2000-10-17,480.0,482.5,478.75,479.75,12259.0,41370.0
2000-10-16,477.0,478.0,475.0,476.25,6990.0,38320.0
2000-10-13,486.0,486.0,476.5,477.0,8145.0,37343.0
2000-10-12,490.0,491.0,484.75,485.5,12398.0,36652.0
2000-10-11,495.0,495.5,488.0,489.0,7338.0,33003.0
2000-10-10,494.0,496.75,493.0,496.25,8420.0,31337.0
2000-10-09,494.0,495.5,493.25,493.75,1935.0,29185.0
2000-10-06,494.5,499.5,494.5,495.75,4432.0,28266.0
2000-10-05,494.0,498.25,492.75,495.5,5153.0,26150.0
2000-10-04,499.0,502.5,496.5,497.0,5863.0,24786.0
2000-10-03,499.0,502.0,495.75,499.5,4324.0,23515.0
2000-10-02,498.0,503.75,498.0,500.0,4183.0,22552.0
2000-09-29,507.0,508.0,500.25,501.0,4979.0,21267.0
2000-09-28,510.5,513.5,508.25,508.5,3780.0,20387.0
2000-09-27,501.5,506.75,499.5,506.5,2079.0,19121.0
2000-09-26,506.75,509.0,502.75,503.75,2502.0,18662.0
2000-09-25,507.5,508.5,501.5,503.75,1910.0,18360.0
2000-09-22,503.0,509.75,503.0,506.5,2189.0,18107.0
2000-09-21,497.0,505.5,495.75,501.75,2335.0,17798.0
2000-09-20,494.0,505.75,494.0,497.75,2742.0,17492.0
2000-09-19,496.5,498.5,493.5,494.0,2319.0,17403.0
2000-09-18,492.5,500.5,492.25,498.75,4298.0,17677.0
2000-09-15,499.0,500.75,493.0,493.75,3734.0,17304.0
2000-09-14,506.0,507.0,500.5,501.75,2957.0,15982.0
2000-09-13,515.5,517.0,508.0,509.0,2520.0,15422.0
2000-09-12,511.5,517.0,505.5,515.25,3854.0,14826.0
2000-09-11,509.75,515.75,509.75,515.0,2788.0,14411.0
2000-09-08,506.0,515.0,506.0,514.5,3296.0,13947.0
2000-09-07,505.0,505.0,498.0,500.0,2998.0,13392.0
2000-09-06,518.0,518.5,504.75,505.0,2994.0,13173.0
2000-09-05,521.0,525.0,519.5,522.75,2265.0,13291.0
2000-09-01,512.0,517.75,511.0,513.5,2194.0,13579.0
2000-08-31,508.5,515.5,507.5,515.0,4069.0,13642.0
2000-08-30,505.0,509.0,502.5,502.75,3430.0,14376.0
2000-08-29,496.0,505.5,496.0,505.25,3464.0,13903.0
2000-08-28,491.0,491.25,486.5,490.75,1835.0,12893.0
2000-08-25,483.0,485.5,481.0,481.25,2777.0,12737.0
2000-08-24,480.0,482.75,477.0,481.25,924.0,11988.0
2000-08-23,477.5,479.5,476.0,479.5,1178.0,11759.0
2000-08-22,485.0,486.0,476.75,478.0,2247.0,11306.0
2000-08-21,477.0,482.75,474.0,482.25,1815.0,10350.0
2000-08-18,479.0,479.5,475.5,477.25,901.0,9614.0
2000-08-17,483.0,486.5,478.25,479.5,1283.0,9616.0
2000-08-16,479.5,485.5,479.5,485.0,667.0,9434.0
2000-08-15,475.5,479.0,474.0,477.5,1391.0,9376.0
2000-08-14,472.5,476.0,472.0,475.75,770.0,9401.0
2000-08-11,465.0,477.5,464.5,472.25,633.0,9354.0
2000-08-10,466.0,468.0,464.0,467.25,718.0,9364.0
2000-08-09,461.0,464.0,461.0,462.5,775.0,9334.0
2000-08-08,459.5,465.0,459.0,464.0,324.0,9246.0
2000-08-07,464.0,464.5,457.0,457.5,929.0,9212.0
2000-08-04,461.0,463.5,458.5,460.25,368.0,8922.0
2000-08-03,460.5,467.0,460.5,462.25,806.0,8989.0
2000-08-02,466.0,468.5,465.5,466.75,242.0,8897.0
2000-08-01,467.0,469.0,460.5,461.5,674.0,8799.0
2000-07-31,459.0,468.0,459.0,465.5,920.0,8866.0
2000-07-28,473.5,478.0,467.0,467.5,550.0,8950.0
2000-07-27,473.0,475.5,473.0,473.5,553.0,9163.0
2000-07-26,469.0,470.0,464.5,469.0,943.0,9129.0
2000-07-25,470.0,472.5,466.5,468.5,532.0,8571.0
2000-07-24,487.0,487.0,473.5,475.5,1344.0,8549.0
2000-07-21,472.5,481.0,471.0,480.5,788.0,8401.0
2000-07-20,468.75,474.0,468.5,473.0,1011.0,8220.0
2000-07-19,460.0,470.0,458.5,467.0,429.0,8103.0
2000-07-18,462.0,464.75,461.0,462.25,421.0,7933.0
2000-07-17,460.5,462.75,456.0,458.75,487.0,7922.0
2000-07-14,468.0,470.0,461.0,464.0,888.0,7889.0
2000-07-13,475.25,475.25,469.0,470.25,816.0,7868.0
2000-07-12,466.0,475.0,461.5,473.25,872.0,7590.0
2000-07-11,477.0,477.0,467.0,467.25,610.0,7543.0
2000-07-10,465.0,477.5,463.0,476.75,707.0,7527.0
2000-07-07,481.0,482.5,475.0,478.5,633.0,7551.0
2000-07-06,477.0,480.25,467.0,470.5,994.0,7751.0
2000-07-05,479.5,484.0,478.5,482.0,538.0,7536.0
2000-07-03,479.0,481.0,471.5,480.0,1078.0,7637.0
2000-06-30,497.5,500.0,484.0,486.5,577.0,7409.0
2000-06-29,500.0,502.5,500.0,501.25,715.0,7321.0
2000-06-28,487.5,497.5,487.5,493.75,1026.0,7104.0
2000-06-27,490.0,493.0,489.5,491.75,521.0,6642.0
2000-06-26,483.0,486.5,481.0,485.0,1035.0,6678.0
2000-06-23,491.0,494.0,489.0,489.75,2130.0,6696.0
2000-06-22,503.0,503.0,493.5,493.5,536.0,6994.0
2000-06-21,499.0,502.5,498.0,498.25,738.0,7049.0
2000-06-20,501.5,501.5,495.5,496.5,1271.0,7017.0
2000-06-19,507.0,507.5,503.5,504.75,750.0,6998.0
2000-06-16,511.0,513.0,508.5,510.0,1377.0,6697.0
2000-06-15,508.5,509.0,504.0,504.5,1000.0,6305.0
2000-06-14,509.0,511.0,502.0,505.5,930.0,6217.0
2000-06-13,522.5,523.0,515.5,517.0,746.0,6135.0
2000-06-12,517.0,521.0,513.5,520.5,1197.0,6179.0
2000-06-09,536.5,540.0,535.0,536.75,125.0,5860.0
2000-06-08,542.0,543.5,536.5,539.25,272.0,5796.0
2000-06-07,543.5,543.5,537.5,540.75,805.0,5713.0
2000-06-06,549.0,550.0,541.0,549.75,483.0,5652.0
2000-06-05,548.0,551.0,545.5,546.75,913.0,5505.0
2000-06-02,543.0,550.0,542.5,550.0,195.0,5458.0
2000-06-01,539.5,542.0,539.0,539.0,232.0,5383.0
2000-05-31,534.5,535.75,531.5,532.5,1009.0,5429.0
2000-05-30,533.5,533.5,528.0,531.5,1480.0,5378.0
2000-05-26,545.0,550.5,544.0,549.5,274.0,5024.0
2000-05-25,559.5,559.5,541.0,544.25,541.0,5033.0
2000-05-24,563.0,563.0,557.0,559.0,141.0,4891.0
2000-05-23,569.0,572.5,566.0,568.0,210.0,4861.0
2000-05-22,567.5,577.0,567.25,573.0,159.0,4807.0
2000-05-19,566.0,573.5,566.0,572.25,75.0,4870.0
2000-05-18,576.0,578.5,565.0,565.75,208.0,4857.0
2000-05-17,559.5,564.5,557.0,560.5,350.0,4838.0
2000-05-16,570.0,572.5,563.5,565.0,354.0,4804.0
2000-05-15,574.5,576.5,559.5,571.0,433.0,4946.0
2000-05-12,580.0,588.0,579.5,587.5,133.0,5194.0
2000-05-11,590.0,590.0,583.5,588.75,471.0,5172.0
2000-05-10,579.0,590.5,578.5,589.25,232.0,5140.0
2000-05-09,575.0,577.0,574.0,574.5,590.0,5066.0
2000-05-08,576.5,580.5,573.5,577.25,378.0,4976.0
2000-05-05,585.5,587.0,581.5,584.5,587.0,5025.0
2000-05-04,586.0,592.0,585.5,587.75,703.0,4973.0
2000-05-03,588.0,600.0,588.0,591.75,868.0,5262.0
2000-05-02,585.0,590.5,583.25,584.5,284.0,4753.0
2000-05-01,570.5,587.5,570.5,587.25,860.0,4360.0
2000-04-28,565.0,566.0,555.0,559.25,397.0,4251.0
2000-04-27,569.5,570.5,564.0,565.5,317.0,4079.0
2000-04-26,579.5,580.5,572.5,573.25,465.0,3993.0
2000-04-25,577.0,580.0,575.0,577.0,353.0,3803.0
2000-04-24,568.0,577.75,566.0,577.0,137.0,3727.0
2000-04-20,564.5,569.5,564.5,569.5,303.0,3718.0
2000-04-19,568.0,572.0,568.0,571.5,72.0,3566.0
2000-04-18,563.5,567.5,563.0,567.5,214.0,3585.0
2000-04-17,563.5,567.0,562.0,564.5,129.0,3607.0
2000-04-14,574.5,574.5,565.0,565.5,77.0,3544.0
2000-04-13,569.5,572.0,566.5,570.25,187.0,3473.0
2000-04-12,561.5,569.0,561.5,567.75,632.0,3553.0
2000-04-11,560.5,565.5,559.0,559.5,101.0,3180.0
2000-04-10,562.5,565.5,562.5,564.5,210.0,3136.0
2000-04-07,560.0,570.0,559.5,569.75,301.0,3021.0
2000-04-06,566.0,568.0,564.0,564.25,113.0,2944.0
2000-04-05,571.5,576.5,570.5,576.25,391.0,2916.0
2000-04-04,579.0,579.0,567.0,571.0,157.0,2689.0
2000-04-03,581.0,586.0,579.0,579.5,359.0,2628.0
2000-03-31,570.5,577.0,570.5,576.0,305.0,2477.0
2000-03-30,562.0,567.5,562.0,566.75,302.0,2409.0
2000-03-29,554.5,559.0,554.0,559.0,36.0,2553.0
2000-03-28,558.5,560.0,555.5,557.5,34.0,2537.0
2000-03-27,562.5,564.5,560.0,562.5,21.0,2530.0
2000-03-24,560.0,563.0,559.5,562.0,98.0,2523.0
2000-03-23,557.5,558.0,553.5,554.0,91.0,2518.0
2000-03-22,557.5,561.5,556.5,561.5,38.0,2529.0
2000-03-21,555.0,557.0,552.5,556.5,219.0,2525.0
2000-03-20,554.0,558.0,552.5,556.0,94.0,2469.0
2000-03-17,560.5,566.5,560.5,566.0,100.0,2437.0
2000-03-16,551.5,563.0,551.5,553.5,125.0,2397.0
2000-03-15,554.5,557.5,554.0,554.0,335.0,2343.0
2000-03-14,548.0,557.0,548.0,556.0,210.0,2250.0
2000-03-13,540.5,547.0,539.5,547.0,217.0,2249.0
2000-03-10,542.5,542.5,534.0,534.5,190.0,2044.0
2000-03-09,542.5,544.0,541.5,541.5,29.0,1963.0
2000-03-08,540.0,541.5,537.5,540.0,90.0,1950.0
2000-03-07,539.5,542.5,535.0,535.5,278.0,1974.0
2000-03-06,534.5,539.0,534.0,539.0,1230.0,1892.0
2000-03-03,533.0,537.0,533.0,535.0,1274.0,1297.0
2000-03-02,529.0,533.0,527.75,533.0,48.0,705.0
2000-03-01,535.0,539.0,532.0,532.5,121.0,680.0
2000-02-29,529.0,535.0,529.0,535.0,33.0,576.0
2000-02-28,529.0,529.0,527.0,527.5,9.0,569.0
2000-02-25,522.0,527.0,522.0,526.0,274.0,563.0
2000-02-24,529.0,534.5,529.0,533.75,58.0,368.0
2000-02-23,542.0,542.0,532.0,532.0,37.0,387.0
2000-02-22,551.0,551.5,545.5,545.5,40.0,382.0
2000-02-18,544.25,549.5,544.0,548.25,57.0,371.0
2000-02-17,540.5,543.5,540.5,542.5,103.0,369.0
2000-02-16,544.0,545.0,538.5,542.0,10.0,322.0
2000-02-15,537.5,544.5,537.5,542.5,92.0,319.0
2000-02-14,543.5,545.0,542.0,542.0,5.0,272.0
2000-02-11,547.0,547.0,541.0,542.0,12.0,284.0
2000-02-10,545.0,547.0,545.0,547.0,8.0,288.0
2000-02-09,533.5,539.0,533.5,539.0,6.0,280.0
2000-02-08,534.5,539.5,534.5,536.25,19.0,279.0
2000-02-07,541.0,545.0,540.5,541.25,25.0,282.0
2000-02-04,529.75,538.0,529.0,538.0,54.0,275.0
2000-02-03,537.5,537.5,533.0,533.0,11.0,253.0
2000-02-02,540.0,544.0,540.0,541.0,8.0,247.0
2000-02-01,538.5,543.5,537.5,543.5,33.0,241.0
2000-01-31,545.0,546.5,539.5,541.5,52.0,231.0
2000-01-28,558.0,561.0,555.0,556.25,106.0,255.0
2000-01-27,545.0,559.0,544.5,559.0,37.0,198.0
2000-01-26,547.5,548.5,545.5,545.5,79.0,187.0
2000-01-25,545.5,550.0,545.5,550.0,22.0,143.0
2000-01-24,546.0,546.0,545.0,546.0,29.0,128.0
2000-01-21,539.0,541.0,537.0,540.0,20.0,110.0
2000-01-20,534.0,541.0,534.0,540.0,24.0,105.0
2000-01-19,537.0,537.0,532.5,535.25,60.0,98.0
2000-01-18,521.5,534.5,521.5,534.5,23.0,55.0
2000-01-14,521.0,530.0,521.0,528.0,20.0,43.0
2000-01-13,513.5,523.0,513.5,522.25,12.0,28.0
2000-01-12,513.0,515.0,512.0,512.0,12.0,18.0
2000-01-11,507.0,507.0,504.0,506.5,5.0,8.0
2000-01-10,503.75,503.75,503.75,503.75,1.0,7.0
2000-01-07,504.5,510.0,504.5,508.5,3.0,7.0
2000-01-06,507.0,507.0,504.0,504.0,5.0,5.0
